Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,9.5,0.0,0.0,0.1,32.7,157.8,143.8,139.3,483.2,,,,
BajaCalifornia,3.8,4.7,28.9,3.2,2.4,5.4,0.3,7.8,56.4,,,,
BajaCaliforniaSur,1.2,0.0,0.7,0.7,1.1,3.5,8.4,46.9,62.4,,,,
Campeche,37.9,69.7,14.2,14.6,28.6,189.7,121.6,175.8,652.0,,,,
Coahuila,3.4,2.0,6.4,6.1,35.9,28.3,64.5,25.3,171.8,,,,
Colima,14.9,0.1,0.0,0.0,69.5,389.3,247.2,373.5,1094.5,,,,
Chiapas,48.0,51.3,21.6,55.4,134.8,422.3,167.5,244.3,1145.1,,,,
Chihuahua,11.4,0.0,0.8,2.6,6.2,75.8,104.7,79.0,280.4,,,,
CiudaddeMéxico,12.3,11.7,8.4,2.5,64.6,211.6,131.4,173.7,616.1,,,,
Durango,14.0,0.1,0.0,0.2,13.9,81.7,142.8,116.2,369.0,,,,
Guanajuato,3.7,6.1,0.2,0.1,73.1,177.1,125.7,133.5,519.4,,,,
Guerrero,43.7,3.7,0.1,1.5,80.4,347.5,163.1,218.7,858.7,,,,
Hidalgo,11.6,16.8,3.4,3.8,70.9,202.3,100.4,61.6,470.7,,,,
Jalisco,7.3,0.9,0.0,0.0,29.2,231.4,180.8,207.2,656.8,,,,
EstadodeMéxico,30.5,19.3,2.7,4.6,110.0,259.1,152.9,189.7,768.8,,,,
Michoacán,18.5,3.2,0.1,0.2,46.0,245.3,169.9,171.7,654.8,,,,
Morelos,46.1,11.5,0.4,5.6,260.7,466.0,224.7,400.4,1415.4,,,,
Nayarit,14.1,0.1,0.0,0.0,17.6,262.3,264.6,360.1,918.8,,,,
NuevoLeón,12.3,5.6,30.7,2.4,67.8,64.9,47.0,43.0,273.7,,,,
Oaxaca,24.2,12.5,2.9,10.4,102.7,325.5,143.5,178.2,799.9,,,,
Puebla,27.0,31.6,5.5,11.3,163.3,285.1,139.3,187.8,850.9,,,,
Querétaro,3.4,8.2,0.4,0.4,73.9,163.2,104.6,91.8,446.0,,,,
QuintanaRoo,94.1,61.4,14.1,27.0,52.1,194.2,64.6,109.2,616.7,,,,
SanLuisPotosí,11.8,3.6,1.9,1.4,59.2,187.6,115.1,69.5,449.9,,,,
Sinaloa,12.8,0.0,0.0,0.0,1.5,89.5,230.7,235.8,570.3,,,,
Sonora,2.5,0.0,2.5,0.3,0.6,34.5,88.2,102.9,231.4,,,,
Tabasco,113.4,122.4,25.1,34.3,48.9,218.7,99.2,160.2,822.3,,,,
Tamaulipas,17.1,4.9,55.5,5.9,82.3,271.3,65.4,48.1,550.6,,,,
Tlaxcala,9.5,30.7,8.3,13.4,141.6,185.2,102.0,129.8,620.5,,,,
Veracruz,64.9,52.5,7.7,8.6,82.7,389.8,173.1,191.6,971.1,,,,
Yucatán,30.2,50.7,16.0,19.6,60.8,146.8,87.3,146.3,557.6,,,,
Zacatecas,10.5,0.0,0.1,1.1,26.9,89.8,125.3,111.0,364.8,,,,
Nacional,19.5,12.6,8.0,6.5,43.1,155.5,113.9,122.2,481.1,,,,
